Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
�land Islands,2013,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,5445,
�land Islands,2013,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,5925,
�land Islands,2012,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2013,5408,
�land Islands,2012,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2013,5896.5,
�land Islands,2011,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2012,5363.5,
�land Islands,2011,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2012,5863,
�land Islands,2010,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2011,5327,
�land Islands,2010,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2011,5829.5,
�land Islands,2009,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2009,5264,
�land Islands,2009,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2009,5800,
�land Islands,2008,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2009,5189,
�land Islands,2008,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2009,5765,
�land Islands,2007,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2007,5151,
�land Islands,2007,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2007,5712,
�land Islands,2000,Total,Male,MARIEHAMN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,4943,
�land Islands,2000,Total,Female,MARIEHAMN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2009,5545,
Albania,2011,Total,Male,Durrës,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,56511,
Albania,2011,Total,Male,TIRANA,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,203239,
Albania,2011,Total,Female,Durrës,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,56738,
Albania,2011,Total,Female,TIRANA,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,215256,
Albania,2003,Total,Male,TIRANA,City proper,Estimate - de facto,"Final figure, complete",2004,194006,
Albania,2003,Total,Female,TIRANA,City proper,Estimate - de facto,"Final figure, complete",2004,198857,
American Samoa,2000,Total,Male,PAGO PAGO,City proper,Census - de jure - complete tabulation,"Final figure, complete",2005,2086,1
American Samoa,2000,Total,Female,PAGO PAGO,City proper,Census - de jure - complete tabulation,"Final figure, complete",2005,2192,1
Andorra,2011,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2011,11056,
Andorra,2011,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2011,11149,
Andorra,2010,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2010,11750,
Andorra,2010,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2010,11755,
Andorra,2009,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2009,12539,
Andorra,2009,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2009,12240,
Andorra,2008,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2008,12437,
Andorra,2008,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2008,12195,
Andorra,2007,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12426,
Andorra,2007,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12148,
Andorra,2006,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,12267,
Andorra,2006,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11944,
Andorra,2005,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11869,
Andorra,2005,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,11718,
Andorra,2003,Total,Male,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2004,10702,
Andorra,2003,Total,Female,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2004,10543,
Armenia,2011,Total,Male,Gyumri (Leninakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,57132,
Armenia,2011,Total,Male,YEREVAN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,490362,
Armenia,2011,Total,Female,Gyumri (Leninakan),City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,64844,
Armenia,2011,Total,Female,YEREVAN,City proper,Census - de jure - complete tabulation,"Final figure, complete",2013,569776,
Armenia,2009,Total,Male,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2010,50143,
Armenia,2009,Total,Male,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2010,70468,
Armenia,2009,Total,Male,YEREVAN,City proper,Estimate - de jure,"Final figure, complete",2010,522409,
Armenia,2009,Total,Female,Vanadzoz (Kirovakan),City proper,Estimate - de jure,"Final figure, complete",2010,54682,
Armenia,2009,Total,Female,Gyumri (Leninakan),City proper,Estimate - de jure,"Final figure, complete",2010,75887,
